J [mm],CT[mm],J [mm],eff[mm],J [mm],CT[mm],J[mm],eff[mm],,J_CT_Ccst,CT_Ccst,J_eff_Ccst,eff_Ccst,J_CT_ClCst,CT_Clcst,J_eff_Clcst,eff_Clcst,,J/mm,C/mm,eff/mm
6.16,40.1,6.24,34.87,5.77,38.33,5.62,33.87,,0.452225519,0.083091587,0.452903773,0.730720872,0.407028754,0.079423954,0.405659516,0.709765298,,0.008478169,0.002072109,0.020955574
11.01,37.87,9.93,35.91,9.47,37.18,8.7,35.02,,0.493344638,0.078470783,0.484188215,0.752514669,0.440803286,0.077041028,0.433774532,0.733864208,,J/mm,C/mm,eff/mm
15.93,35.56,15.24,37.29,14.66,35.68,13.78,36.64,,0.535057228,0.073684211,0.529207291,0.781433361,0.488178914,0.073932864,0.480146052,0.767812238,,0.009128252,0.002072109,0.020955574
21.48,32.56,20.25,38.68,19.4,34.17,19.09,37.87,,0.582111064,0.067467882,0.571682916,0.810561609,0.531446828,0.070803978,0.52861707,0.793587594,,,,
25.94,29.94,25.75,39.84,25.52,31.75,20.71,38.33,,0.619923696,0.062038956,0.618312844,0.834870075,0.58731173,0.065789474,0.543404838,0.803227158,,,,
31.1,26.63,30.48,40.4,31.17,28.29,26.79,39.56,,0.663671047,0.055180274,0.658414582,0.846605197,0.638886353,0.058619975,0.59890461,0.829002515,,,,
35.41,23.55,35.33,40.93,36.83,24.71,29.33,40.03,,0.700211954,0.048798177,0.699533701,0.857711651,0.690552259,0.051201823,0.62209037,0.838851635,,,,
40.1,20.17,41.45,41.68,43.07,20.55,32.67,40.64,,0.739974565,0.041794447,0.751420093,0.873428332,0.747512551,0.042581848,0.652578731,0.851634535,,,,
44.18,17.01,45.53,41.8,49.07,16.28,40.64,41.45,,0.774565494,0.035246581,0.786011022,0.875943001,0.802282063,0.033733941,0.725330899,0.86860855,,,,
48.88,14.01,50.46,41.57,54.74,12.93,47.68,42.37,,0.814412887,0.029030253,0.827808393,0.871123219,0.854039251,0.026792375,0.789593793,0.887887678,,,,
53.96,9.85,55.01,40.52,60.27,8.54,52.99,42.37,,0.857481984,0.020410278,0.866384061,0.849119866,0.904518485,0.017695814,0.838064811,0.887887678,,,,
59.65,6.31,58.19,39.49,65.35,4.62,56.11,41.91,,0.905722764,0.01307501,0.893344638,0.827535624,0.950890005,0.009573145,0.866544957,0.878248114,,,,
65.04,2.62,62,32.33,,,59.23,41.8,,0.951420093,0.005428927,0.92564646,0.677493713,,,0.895025103,0.875943001,,,,
,,64.77,23.9,,,62.69,40.42,,,,0.949130988,0.500838223,,,0.926608854,0.847024308,,,,
,,,,,,66.85,37.06,,,,,,,,0.964582382,0.776613579,,,,
